Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Y
0.1405144306,-0.5330374129,1.4788850036,-0.0505493784,0.5041513024,-0.4400429009,1.8124643018,-0.0955404342,0.8919671962,1.6171585551,-0.3755282841,0.4082918027,-0.2179990108,-0.2099067343,-1.3729524739,-0.4419483407,-1.8550533911,0.2781542696,0.5248810463,0.3224197007,0.1606209543,-0.6742606357,-0.4134923935,-1.4019734456,-1.0478717404,-0.3115995632,-0.1476428629,-0.5328675687,-0.5218499203,0.8045700496,0.5490284515,-1.8726503166,-0.1357902178,0.0910424147,0.5669248411,-0.2193657598,0.5695662,0.5474799813,0.0973678301,0.1234054229,1.3428289914
-0.8982000711,-0.7820701166,0.1087009285,1.3648929101,0.5935778855,-0.9025258649,-0.0823000572,1.1793719046,-0.5180526676,-0.2258262275,-1.5576136621,1.0761454448,-1.4034214586,0.2019953572,0.7668434371,-0.3890830942,0.497295791,0.5383172065,1.0314569001,-0.3630789103,0.4002977469,-0.5637604367,0.9881723122,-0.5765969193,0.3495231788,-1.227794908,0.569486144,-2.1031182813,0.893411743,-1.0559625604,-0.1297887025,-1.2885184208,-0.1800139401,0.8595629104,0.1248601801,-0.2505818526,-0.700927043,0.4820427214,-0.2068141336,1.2023870269,0.8763407605
-0.8134154693,0.3444925503,1.5956460048,-0.1455751142,1.2918683239,0.0291017849,-1.3044606952,0.7378321633,0.0876350435,0.443798887,0.1058633563,-1.4180691576,0.153565509,-0.83711003,-0.8249862621,-0.703100986,-0.5858245286,0.2556799779,0.2397113669,0.2284192013,0.7871812703,-0.7446679551,1.2928060753,-0.520079353,1.5365093158,0.3759468004,-1.1707290154,1.4002433866,-0.0096482558,0.6386158137,-0.8365605215,-1.0226220058,2.265218902,0.3918768273,0.0427830105,1.893750532,-0.4329402206,-0.7031253771,0.8665959378,-0.5295171612,1.8277521878
-1.3758316164,-1.6496154531,-0.0425962954,-1.0848700554,-0.6081636626,0.8174948609,0.2976662404,-0.3462428172,-0.5339775809,1.122232889,0.5027283186,-0.572010939,-0.1143689655,0.7830863133,0.2488727838,-0.0629850116,-0.5809553039,-1.6030843766,2.2173359188,0.0458187621,2.0685817213,1.5729613773,2.1179054624,-0.0013706528,0.9263698402,-0.1122834644,-0.1138503803,1.3752079167,-0.240795494,0.3785663954,0.3639157629,-0.2035885587,0.235015758,-0.290859258,-0.1800923463,-0.29954857,0.5125296902,-0.9552171729,1.7747586536,0.6845363262,1.8414332656
-1.0466226686,0.9659453052,-0.3268873571,0.1655144455,0.1099745747,0.8744976161,1.1974802635,-0.2011274723,0.2305436082,-0.7437491199,0.4588860823,-0.9446548509,-1.2232717519,-0.1219628103,-0.8536171234,0.405875315,0.1897748962,-2.1968203017,0.8258538903,1.5872813001,-0.2515869146,-0.3901962895,1.1199726223,-1.0104234218,0.0664621608,-1.0806913289,1.5129113091,1.2754457353,0.6120133785,0.4827168528,1.1969753906,0.0793649716,-0.3479099037,0.7717253263,0.3680694437,1.1733610998,-0.8950520563,0.7042528547,-0.5851951147,1.0941001798,1.728269798
-0.3624870221,0.8316568637,0.2826401602,-1.6970117396,-0.1929218354,0.2007352881,0.1705319974,-0.1977586984,1.169588139,-0.9658675586,-0.6931631424,0.3902779781,-0.6191220734,-0.5799464407,0.6221112904,0.9470114961,1.9209817857,-1.0957303206,1.2152083468,-0.4736403196,-0.811829396,0.3085772557,0.4835978214,-0.3101461484,-0.4644380436,-0.3495259474,1.8912986712,0.0922004157,0.9363648996,1.8661840999,-1.5259147105,0.1200145192,0.5635990235,0.9252069398,1.983034576,-2.7081015754,-0.5526614208,-2.3101380217,0.2643092901,-1.3034731291,0.8644534934
0.852865056,-0.8106288168,-0.4081092785,0.4386280829,-1.0668634266,0.6250558579,1.6594589483,-0.1060508851,-1.1213096856,-1.1309719571,-2.0384894047,0.971274809,2.0651000836,-0.1459056122,-0.6955110637,-0.1431453689,-0.0608411646,-0.7178942937,-1.8212228218,0.6432338871,0.3223185796,0.9410356661,-0.7368606807,-0.8924410148,-2.1942813385,0.4074047032,1.1270977913,1.2382306328,-0.4479345752,1.8276569729,0.3079248811,-1.0108925633,-0.0561743864,-1.3097740743,-0.9705907258,-1.1226479244,-2.0261858501,-1.255676507,-0.6438515602,-0.1557202163,0.8479115154
0.5124842274,-0.7433983119,-1.1243605428,-0.7649728287,1.4831142252,-0.4253733069,-0.4858233777,-0.8811724824,0.0952135755,-0.5333361141,0.5768801756,0.7122392218,0.1831295751,0.3566898222,-1.6645241967,2.3867484634,1.3935972491,0.7714672753,-0.7501429633,0.8112114155,-0.0278518437,-1.2124869827,2.0107542486,-0.5983468852,1.5921353062,-1.4184480148,-1.9985516932,0.1509350809,-1.794340909,0.0199609496,0.1695473918,1.1730602856,0.3881390272,0.2154627475,0.2648631199,-1.0044094751,-2.6392184458,1.972701356,0.2686995478,0.0974241929,0.9962192233
0.5492663389,-1.28832873,1.4748998829,0.3222192075,-0.0555054337,-0.889795306,2.851610886,0.245458459,-0.0303946334,0.9743592851,-0.8766647508,0.6985666417,0.2497826949,0.3505634565,-0.4276885345,-0.1060320371,0.3350194863,0.2945004402,-1.3058344076,-1.2944408257,-0.048508754,0.7373491441,-0.5068792012,1.2631768879,0.1371733244,-1.0489302696,-0.6693473056,-1.0916878138,1.8046839684,-0.2208009178,-0.416748814,-0.2929201093,0.4062622796,-1.6217730606,0.4220219534,0.2465875839,0.0132647169,0.0127584724,-1.4563067034,1.2869607965,1.0824981799
0.7383791146,1.62851796,0.1106095842,2.6236654948,-0.4201054482,-0.1677858346,-1.6801856414,-1.2912842219,1.1452102014,-1.2342789509,0.8773993369,-1.6017549299,0.2220919458,-0.3185666674,0.2203062685,2.0695245889,-2.7805097845,-0.1217886243,-1.1799078568,0.6590514678,-2.0964733131,-0.2191923831,-0.0680487147,0.4889457068,0.5480101602,-1.2688990407,-0.9137426177,0.2715665403,0.1722537845,-0.6599492524,-1.841207554,0.0559006362,-1.3104391367,-1.5786572054,-0.38347308,-0.1906239983,-0.9935332383,-0.2040011549,1.0745280706,0.3770505555,0.8795526266
